==============================================================================
MEDIA-PLAYBACK-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media   Since: 2025-12-03T18:46:16Z
Excluded paths: dom/media/webrtc, dom/media/systemservices
Authors: 63    Patches: 681    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Alastor Wu  —  88 patch(es)
    ----------------------------------------------------------------------
      2026-04-14  189c759a8409  Bug 2025467 - Fix a potential issue in MFMediaEngineChild. r=media-playback-reviewers,jolin
      2026-04-14  687704e08115  Bug 2030484 - Part 3: Tests for DRM powerEfficient and RFP behavior. r=media-playback-reviewers,jolin
      2026-04-14  a776f22e74d8  Bug 2030484 - Part 2: Add RFP guard to DRM decodingInfo path. r=media-playback-reviewers,jolin
      2026-04-14  73c5d174941b  Bug 2030484 - Part 1: Detect powerEfficient by checking real decoder for software-DRM key systems. r=media-playback-reviewers,jolin
      2026-04-13  6bd4b7e97928  Bug 2030916 - Use checked arithmetic in ADTSTrackDemuxer::Duration. r=media-playback-reviewers,karlt
      2026-04-10  c5ccfb0cbaf4  Bug 2030127 - Part 3: Add GTest for AAC encoder delay tfdt overflow fix. r=padenot
      2026-04-10  9877278471df  Bug 2030127 - Part 2: Fix AudioSink silence-fill unit mismatch between input and output sample rates. r=padenot
      2026-04-10  44f8f68b7287  Bug 2030127 - Part 1: Fix MDSM BufferingState requesting video at time=0 when buffer starts at non-zero timestamp. r=media-playback-reviewers,padenot
      2026-04-09  b6b197dda1b0  Bug 2029809 - Use static string literals for profiler labels in LoopingDecodingState. r=media-playback-reviewers,karlt
      2026-04-09  898a55ed00eb  Bug 2029800 - quick fix. r=media-playback-reviewers,padenot
      2026-04-08  f7404a016180  Bug 2026875 - Fix MoofParser discarding audio fragments with AAC encoder delay tfdt. r=padenot
      2026-04-08  48358768ac79  Bug 2026435 - Extend mfcdm.eme_playback and mfcdm.error probe expiry to Fx158. r=media-playback-reviewers,padenot,chutten
      2026-03-30  c8e723b2c1cc  Bug 2027147 - Guard curConfig before unwrap in HEVCChangeMonitor::CheckForChange. r=media-playback-reviewers,padenot
      2026-03-30  ff4448cae386  Bug 2025949 - Hold strong reference to TextTrack in HonorUserPreferencesForTrackSelection. r=media-playback-reviewers,padenot
      2026-03-27  fa107137d990  Bug 2025477 - Clear mKeys in RemoteCDMChild::Shutdown. r=media-playback-reviewers,padenot
      2026-03-27  0f2b6b79a66b  Bug 2025505 - Hold a strong reference in ImageDecoder::Close. r=media-playback-reviewers,padenot
      2026-03-27  f163a1924ca9  Bug 2025485 - Improve bounds check in AudioData::SetTrimWindow. r=media-playback-reviewers,chunmin
      2026-03-27  ef6391682136  Bug 2025479 - Validate IPC-supplied audio sample fields before use in ArrayOfRemoteAudioData::ElementAt. r=media-playback-reviewers,padenot
      2026-03-26  a701cd54ca4f  Bug 2025475 - Disconnect MediaSession listeners in destructor and when inactive. r=pehrsons
      2026-03-26  33bfc703a7e6  Bug 2025472 - Clear JS members in MediaEncryptedEvent and MediaKeyMessageEvent Unlink. r=media-playback-reviewers,kinetik
      2026-03-26  bf1caede984d  Bug 2025468 - Enforce spec bounds in ParseStRefPicSet inter-predicted branch. r=media-playback-reviewers,padenot
      2026-03-26  535e752e0c23  Bug 2025422 - Clamp read size in int64_t domain in ADTSTrackDemuxer::Read. r=media-playback-reviewers,karlt
