==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2026-03-19  0bce9032bb54  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-19  60578c17f272  Bug 2020923 - Make the repetition iterator more NaN-proof. r=gfx-reviewers,lsalzman
      2026-03-19  2d752a07832b  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
      2026-03-19  fcebfd8d1b37  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-17  ec344ef3f2ef  Bug 2020923 - Disable the remaining use of non-quad linear gradients. r=gw
      2026-03-17  1d5a40e48cc3  Bug 2019934 - Make getting the source texture of a quad primitive fallible. r=gw
      2026-03-17  1f3f27070239  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-17  05d2ee364a9b  Bug 2020923 - Make the repetition iterator more NaN-proof. r=gfx-reviewers,lsalzman
      2026-03-17  7c88c871becb  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
      2026-03-17  09f373c97fe9  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-12  82188b14705e  Bug 2020923 - Make the repetition iterator more NaN-proof. r=gfx-reviewers,lsalzman
      2026-03-12  d88db76427ed  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
      2026-03-12  3ae4b392f372  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-12  9affbe9ccf2b  Bug 2020923 - Disable the remaining use of non-quad linear gradients. r=gw
      2026-03-12  1955409541e2  Bug 2019934 - Make getting the source texture of a quad primitive fallible. r=gw
      2026-03-12  e0759e6d26a0  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-12  3de245cb7f4d  Bug 2019934 - Use the ps_quad_textured shader for image primitives in simple cases. r=gw
      2026-03-11  8c8b767491e1  Bug 2020923 - Make the repetition iterator more NaN-proof. r=gfx-reviewers,lsalzman
      2026-03-11  8f07552ed441  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
