==============================================================================
LAYOUT-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: layout   Since: 2026-03-12T17:06:31Z
Excluded paths: (none)
Authors: 121    Patches: 1326    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Emilio Cobos Álvarez  —  242 patch(es)
    ----------------------------------------------------------------------
      2026-08-05  be37a7a2aaaf  Bug 2054691 - Validate cross-process paint dependencies. r=nika,layout-reviewers,dholbert
      2026-08-04  1f06cff967c5  Bug 2048635 - Fix some tests.
      2026-08-04  073a8207b94b  Bug 2048635 - Don't allow param(--foo) in link-parameters. r=firefox-style-system-reviewers,firefox-svg-reviewers,dshin,longsonr
      2026-08-03  2370867dfac5  Bug 2058616 - Don't crash on simplified-out anchor-pos functions. r=TYLin
      2026-08-03  04c2394b591f  Bug 2025141 - Build the keyframe array by appending instead of prepending. r=boris,firefox-style-system-reviewers
      2026-07-31  0d5536e3ff39  Bug 1958755 - Insert coalesced loads after the list head to avoid O(N^2) loading r=emilio,firefox-style-system-reviewers
      2026-07-31  0ba2ca902862  Bug 2057753 - Use power of two + scrambled hash rather than prime size in MruCache. r=layout-reviewers,dshin,smaug
      2026-07-30  bbab723d2c28  Bug 2059467 - Use getComputedStyle() in get_computed_value. r=firefox-style-system-reviewers,dshin
      2026-07-28  fe629a3d61c5  Bug 2058134 - Use HasAuthorSpecifiedBorderBackground() rather than background alpha. r=jjaschke
      2026-07-27  4e53d86c35a6  Bug 2056610 - Don't suppress content in listbox select. r=keithamus,layout-reviewers,firefox-style-system-reviewers,dshin
      2026-07-27  3d37da6a78fe  Bug 2057894 - Don't apply vertical-align to ::placeholder. r=dholbert,layout-reviewers,firefox-style-system-reviewers,dshin
      2026-07-27  4b26ac1c3f3e  Bug 1958705 - Avoid quadratic scans of the adopted stylesheet list when adopting sheets. r=emilio,firefox-style-system-reviewers
      2026-07-25  87f604e7f075  Bug 2057731 - Add telemetry for the global stylesheet cache not finding the expected stylesheet. r=dholbert,layout-reviewers
      2026-07-24  ae6e73297cd9  Bug 2056610 - Restore :not() selector for now, with a comment.
      2026-07-24  63b8f4ddab42  Bug 2056610 - Clean up some dead nsListControlFrame code. r=keithamus
      2026-07-24  e093941a5c7f  Bug 2056610 - Clean up a bit the select picker rules. r=keithamus
      2026-07-24  5d10653c61fb  Bug 2053485 - Remove unicode-bidi: plaintext special-case. r=jfkthame,layout-reviewers
      2026-07-23  1865eee9d6a3  Bug 2052937 - Make nsReadableUtils depend less on comparators. r=nika,xpcom-reviewers,layout-reviewers,dshin
      2026-07-22  cce08d6f6a77  Bug 2052937 - Make nsReadableUtils depend less on comparators. r=nika,xpcom-reviewers,layout-reviewers,dshin
      2026-07-22  7c78d5b8d2b5  Bug 2056795 - Don't start deferred loads immediately if aren't supposed to. r=layout-reviewers,firefox-style-system-reviewers,dshin
      2026-07-22  2a9f3f2c1c17  Bug 2056926 - Paper over bug 1681745 / bug 1941972. r=firefox-style-system-reviewers,dshin
      2026-07-22  b8113a102407  Bug 1910797 - Don't remove a fragmented anonymous wrapper when removing its only child. r=layout-reviewers,dshin
      2026-07-22  f6fe253bcf23  Bug 2054303 - Minor tweaks to attribute selector matching. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-07-22  694b65b487a4  Bug 2056633 - Don't allow <input> / <textarea> to be affected by multicol styles. r=layout-reviewers,jfkthame
      2026-07-21  49fdf804d356  Bug 2022210 - Simplify nsMenuPopupFrame::GetPopupLevel. r=stransky
      2026-07-21  ab75de031daa  Bug 2003408 - Make removal from a shared StyleSheetInfo O(1) via a cached index. r=emilio,firefox-style-system-reviewers
      2026-07-18  75256767ec00  Bug 2052162 - Fix nsTableFrame overflow handling. r=layout-reviewers,dshin
      2026-07-18  65a56557169a  Bug 1551818 - Make IDL name lookup work for aliases. r=firefox-style-system-reviewers,boris
      2026-07-17  4952382c53f9  Bug 2052162 - Fix nsTableFrame overflow handling. r=layout-reviewers,dshin
      2026-07-17  a98d80df1bab  Bug 2047669 - Fix text-overflow on text inputs. r=layout-reviewers,jfkthame
      2026-07-17  f7fd19e6f8bd  Bug 2055800 - Make nsTableCellMap::GetMapFor() better behaved. r=layout-reviewers,jfkthame
      2026-07-17  7e70967d2151  Bug 2054742 - Fix some incremental table layout issues during printing. r=TYLin,layout-reviewers,dshin
      2026-07-16  ed5c8b843371  Bug 2054742 - Fix some incremental table layout issues during printing. r=TYLin,layout-reviewers,dshin
      2026-07-16  e58899d7ff2d  Bug 2053749 - Simplify a bit the static atoms set-up. r=firefox-style-system-reviewers,dshin,ipc-reviewers,nika
      2026-07-14  7b5fd5f7a175  Bug 2053631 - Fire events more asynchronously when a deferred load errors. r=firefox-style-system-reviewers,dshin
      2026-07-08  98ed07c22f9b  Bug 2053100 - Implement more of StylePropertyMapReadOnly. r=janv
      2026-07-07  23778bbea20b  Bug 2052637 - Fix nsFrameSelection::GetPageToFrameSelect. r=layout-reviewers,dshin
      2026-07-07  d3b2b426e367  Bug 1850539 - Allow custom content container (native anonymous roots more generally) as children of svgs. r=layout-reviewers,dshin
      2026-07-06  579b3edd866b  Bug 1850539 - Allow custom content container (native anonymous roots more generally) as children of svgs. r=layout-reviewers,dshin
      2026-07-06  ae9f68ef77f2  Bug 2045198 - Don't bother checking ancestors for constructed check. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-07-06  bca004a62f9c  Bug 2052637 - Fix nsFrameSelection::GetPageToFrameSelect. r=layout-reviewers,dshin
      2026-07-06  9a239661ff6f  Bug 2045407 - Validate surface format properly. r=gfx-reviewers,bradwerth
      2026-06-30  3e8d83e8d690  Bug 2050819 - -moz-image-decoding property. r=tnikkel,layout-reviewers
      2026-06-29  78627c41e4fb  Bug 2051345 - Remove line-height: -moz-block-height. r=layout-reviewers,firefox-style-system-reviewers,firefox-svg-reviewers,dshin
      2026-06-24  b1ecce9fb2eb  Bug 2047603 - Move list box selection state / event handling to HTMLSelectElement. r=smaug,jjaschke,dom-core-reviewers
      2026-06-23  5aa0c2d0a78c  Bug 2048930 - Move some of xpcom's UTF-16 utils to mfbt/Utf16.h. r=jfkthame,necko-reviewers,layout-reviewers
      2026-06-22  5a163743f202  Bug 2048877 - Don't do two hashmap lookups for inline stylesheets. r=firefox-style-system-reviewers,tlouw
      2026-06-18  022f985eebc5  Bug 2048596 - Use UnorderedRemoveElement for StyleSheet::mAdopters. r=firefox-style-system-reviewers,dshin
      2026-06-16  b1d39ae0c2ec  Bug 2045606 - Don't skip layout for fragmented blocks. r=layout-reviewers,dshin
      2026-06-15  a6484ea74f38  Bug 2045609 - Fix text-run allocation OOM handling. r=layout-reviewers,dshin
      2026-06-15  4b57873bc521  Bug 2045606 - Don't skip layout for fragmented blocks. r=layout-reviewers,dshin
      2026-06-13  3cf5d675afb2  Bug 2045660 - Prevent placeholder from creating overflow in <input>. r=TYLin
      2026-06-12  060bc28042ce  Bug 2046419 - Don't use LOAD_NORMAL for XHRs with progress event listeners. r=smaug,search-reviewers,scunnane
      2026-06-11  a46a009084aa  Bug 2046642 - Fix interaction of gap and visibility: collapse in flex containers. r=dholbert,layout-reviewers,dshin
      2026-06-10  b2a704aaa63b  Bug 2045413 - Deal correctly with <area> element removals. r=layout-reviewers,dshin
      2026-06-10  0c8c2d7a8ddb  Bug 2045230 - Split background-clip: border-area reftests into different reftests. r=gfx-reviewers,lsalzman
      2026-06-10  78b87ae8be52  Bug 2045230 - Add background-clip: border-area support for solid borders. r=gfx-reviewers,layout-reviewers,firefox-style-system-reviewers,lsalzman,dshin
      2026-06-10  2876b39265f4  Bug 2046190 - Tweak the fix for bug 2045591 to be more targeted. r=tnikkel,layout-reviewers
      2026-06-10  411e7a33b197  Bug 2045394 - Fix nsFrameSetFrame primary frame handling of children. r=layout-reviewers,dshin
      2026-06-08  d3ec7a6a5ff7  Bug 2045329 - Fix subgrid border/margin/padding computation for scrollers. r=layout-reviewers,dholbert
      2026-06-08  554bde3a161e  Bug 2045591 - Keep painting popups in the hiding state. r=tnikkel,layout-reviewers
      2026-06-08  14abd967ec33  Bug 2045591 - Keep painting popups in the hiding state. r=tnikkel,layout-reviewers
      2026-06-05  779757981da6  Bug 2038137 - Include <input type=image> in elements always-clipped. r=firefox-style-system-reviewers,boris
      2026-06-05  8a2eeff8e8bd  Bug 2044694 - Move ScrollOffsetUpdateType out of FrameMetrics to avoid unnecessary FrameMetrics.h includes. r=botond,layout-reviewers,TYLin
      2026-06-05  bb1efcc2e5bd  Bug 2044618 - Remove some include dependencies. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-06-05  cc359d1aa9fe  Bug 2044618 - Remove SheetParsingMode. r=layout-reviewers,dholbert
      2026-06-04  1ffa4bb82208  Bug 2041502 - Make PresShell forward notifications to DocAccessible. r=layout-reviewers,jwatt
      2026-06-04  dced783049bc  Bug 2036647 - Allow extension themes to use CSS gradients. r=desktop-theme-reviewers,extension-reviewers,firefox-style-system-reviewers,layout-reviewers,dao,jwatt,willdurand
      2026-06-04  6bfa334da415  Bug 2038137 - Include <input type=image> in elements always-clipped. r=firefox-style-system-reviewers,boris
      2026-06-04  691d8496c3a6  Bug 2041502 - Make PresShell forward notifications to DocAccessible. r=layout-reviewers,jwatt
      2026-06-04  dc4494136b5a  No bug - Make ReflowCounter trivially destructible to appease clang-tidy r=layout-reviewers,jwatt DONTBUILD
